user_id,age_group,city,subscription_plan
U0001,35-44,Hyderabad,Premium
U0002,35-44,Noida,Basic
U0003,35-44,Mumbai,Free
U0004,35-44,Bangalore,Premium
U0005,45+,Noida,Standard
U0006,25-34,Pune,Premium
U0007,45+,Chennai,Free
U0008,45+,Hyderabad,Free
U0009,45+,Mumbai,Basic
U0010,45+,Delhi,Free
U0011,35-44,Kolkata,Free
U0012,45+,Hyderabad,Free
U0013,25-34,Chennai,Standard
U0014,35-44,Hyderabad,Basic
U0015,45+,Delhi,Free
U0016,35-44,Kolkata,Free
U0017,35-44,Mumbai,Premium
U0018,45+,Chennai,Standard
U0019,18-24,Mumbai,Free
U0020,45+,Hyderabad,Basic
U0021,35-44,Hyderabad,Basic
U0022,35-44,Bangalore,Premium
U0023,45+,Mumbai,Standard
U0024,25-34,Chennai,Basic
U0025,25-34,Hyderabad,Free
U0026,35-44,Mumbai,Standard
U0027,25-34,Mumbai,Premium
U0028,25-34,Kolkata,Premium
U0029,45+,Chennai,Free
U0030,18-24,Chennai,Free
U0031,45+,Pune,Free
U0032,18-24,Noida,Free
U0033,45+,Hyderabad,Basic
U0034,18-24,Pune,Standard
U0035,18-24,Delhi,Premium
U0036,45+,Delhi,Free
U0037,45+,Kolkata,Standard
U0038,18-24,Noida,Standard
U0039,18-24,Bangalore,Free
U0040,35-44,Mumbai,Free
U0041,35-44,Delhi,Basic
U0042,25-34,Delhi,Free
U0043,35-44,Chennai,Free
U0044,35-44,Hyderabad,Basic
U0045,35-44,Bangalore,Basic
U0046,18-24,Kolkata,Standard
U0047,18-24,Pune,Basic
U0048,35-44,Chennai,Basic
U0049,18-24,Kolkata,Basic
U0050,25-34,Hyderabad,Free
U0051,35-44,Noida,Basic
U0052,45+,Pune,Basic
U0053,25-34,Pune,Free
U0054,18-24,Kolkata,Standard
U0055,45+,Pune,Free
U0056,35-44,Bangalore,Free
U0057,25-34,Mumbai,Standard
U0058,18-24,Pune,Premium
U0059,45+,Hyderabad,Free
U0060,25-34,Chennai,Basic
U0061,25-34,Kolkata,Premium
U0062,35-44,Chennai,Free
U0063,18-24,Bangalore,Basic
U0064,45+,Pune,Premium
U0065,35-44,Chennai,Basic
U0066,18-24,Chennai,Free
U0067,35-44,Mumbai,Free
U0068,35-44,Bangalore,Free
U0069,45+,Noida,Standard
U0070,18-24,Chennai,Premium
U0071,45+,Hyderabad,Free
