watch_id,user_id,show_id,watch_minutes,watch_date
W00001,U0349,S022,162,2026-04-27
W00002,U0397,S018,170,2026-05-12
W00003,U0016,S013,179,2026-04-22
W00004,U0108,S030,64,2026-03-28
W00005,U0227,S010,43,2026-05-13
W00006,U0414,S027,22,2026-09-12
W00007,U0141,S018,169,2026-05-12
W00008,U0096,S003,132,2026-04-27
W00009,U0039,S014,38,2026-05-10
W00010,U0446,S017,71,2026-07-16
W00011,U0245,S012,25,2026-05-18
W00012,U0440,S012,130,2026-07-02
W00013,U0266,S030,162,2026-09-15
W00014,U0359,S020,142,2026-04-03
W00015,U0065,S030,12,2026-08-15
W00016,U0429,S014,129,2026-06-27
W00017,U0158,S018,77,2026-06-19
W00018,U0146,S030,46,2026-06-13
W00019,U0153,S016,82,2026-08-16
W00020,U0399,S017,130,2026-03-31
W00021,U0344,S004,149,2026-03-26
W00022,U0187,S026,46,2026-04-08
W00023,U0061,S005,180,2026-04-02
W00024,U0380,S006,48,2026-09-09
W00025,U0440,S014,97,2026-09-18
W00026,U0011,S030,86,2026-07-22
W00027,U0226,S025,61,2026-05-21
W00028,U0260,S027,81,2026-08-26
W00029,U0148,S029,72,2026-09-07
W00030,U0310,S021,119,2026-06-29
W00031,U0330,S011,66,2026-07-18
W00032,U0218,S009,12,2026-05-25
W00033,U0376,S006,14,2026-05-01
W00034,U0261,S022,56,2026-05-27
W00035,U0215,S017,18,2026-07-28
W00036,U0099,S020,131,2026-09-06
W00037,U0241,S029,132,2026-06-29
W00038,U0490,S003,91,2026-04-11
W00039,U0062,S017,12,2026-03-24
W00040,U0160,S003,22,2026-04-25
W00041,U0120,S029,98,2026-07-19
W00042,U0329,S004,151,2026-04-23
W00043,U0357,S002,20,2026-04-04
W00044,U0105,S024,76,2026-04-30
W00045,U0123,S028,38,2026-04-01
W00046,U0137,S003,162,2026-08-19
W00047,U0226,S012,179,2026-04-26
W00048,U0009,S015,49,2026-07-17
W00049,U0025,S005,148,2026-09-16
W00050,U0443,S002,133,2026-07-09
W00051,U0463,S006,81,2026-07-02
W00052,U0251,S005,99,2026-07-03
W00053,U0402,S006,46,2026-04-17
W00054,U0316,S016,37,2026-04-15
W00055,U0453,S013,90,2026-08-11
W00056,U0114,S008,54,2026-08-29
W00057,U0224,S030,102,2026-06-18
W00058,U0115,S026,76,2026-09-17
W00059,U0056,S008,107,2026-09-07
W00060,U0040,S027,42,2026-08-07
W00061,U0262,S024,156,2026-05-29
W00062,U0336,S008,101,2026-06-13
W00063,U0353,S027,68,2026-09-15
W00064,U0304,S009,22,2026-05-03
W00065,U0363,S013,98,2026-08-26
W00066,U0181,S010,109,2026-04-21
W00067,U0191,S027,175,2026-04-11
W00068,U0188,S007,142,2026-07-16
W00069,U0235,S013,67,2026-05-28
W00070,U0249,S019,40,2026-08-08
W00071,U0023,S010,147,2026-08-24
W00072,U0160,S011,167,2026-04-28
W00073,U0039,S018,109,2026-06-06
W00074,U0258,S014,86,2026-07-26
W00075,U0477,S012,48,2026-07-25
W00076,U0450,S013,55,2026-08-19
W00077,U0155,S017,26,2026-07-10
W00078,U0360,S002,97,2026-06-20
W00079,U0365,S003,79,2026-05-17
W00080,U0467,S030,83,2026-06-15
W00081,U0233,S002,72,2026-04-08
W00082,U0412,S028,88,2026-06-30
W00083,U0222,S005,31,2026-06-30
W00084,U0196,S020,105,2026-05-06
W00085,U0484,S018,77,2026-07-20
W00086,U0219,S017,21,2026-09-09
W00087,U0406,S017,147,2026-07-31
W00088,U0374,S001,31,2026-09-12
W00089,U0474,S024,59,2026-04-26
W00090,U0270,S015,38,2026-06-06
W00091,U0204,S004,134,2026-04-17
W00092,U0460,S007,38,2026-04-28
W00093,U0395,S001,143,2026-06-04
W00094,U0367,S015,169,2026-06-06
W00095,U0435,S011,67,2026-07-16
W00096,U0471,S026,38,2026-05-14
W00097,U0004,S017,108,2026-04-22
W00098,U0397,S009,48,2026-05-15
W00099,U0271,S023,38,2026-04-15
W00100,U0157,S011,125,2026-09-08
W00101,U0288,S002,93,2026-07-13
W00102,U0022,S011,36,2026-05-09
W00103,U0195,S017,135,2026-07-18
W00104,U0236,S024,101,2026-06-04
W00105,U0477,S021,56,2026-04-18
W00106,U0464,S005,93,2026-09-05
W00107,U0262,S019,140,2026-04-06
W00108,U0257,S026,133,2026-08-13
W00109,U0422,S015,171,2026-04-16
W00110,U0445,S003,73,2026-04-17
W00111,U0497,S025,33,2026-07-20
W00112,U0012,S018,24,2026-08-19
W00113,U0492,S016,36,2026-07-06
W00114,U0072,S028,154,2026-08-27
W00115,U0093,S021,17,2026-07-09
W00116,U0079,S027,59,2026-03-26
W00117,U0500,S007,140,2026-08-19
W00118,U0349,S012,33,2026-09-09
W00119,U0316,S026,140,2026-07-07
W00120,U0404,S014,24,2026-05-18
